order_id,cart_skus,target_sku,cart_size,target_train_orders,popularity_segment,basket_segment,top_prediction,top_k_skus,target_rank,hit_at_k,reciprocal_rank_at_k,candidate_cross_entropy,target_Product Name,target_Κατηγορίες προϊόντων,target_Προϊόν Ηλικία,predicted_Product Name,predicted_Κατηγορίες προϊόντων,predicted_Προϊόν Ηλικία,age_mismatch,category_mismatch
57237,820-55713,SUS2442,1,2,rare,small,AV60787,AV60787 | 820-52255 | MAP969310 | 176-00011 | HRD96 | ΜΙΝ61029 | 16-03459 | MS0502bw-06 | ΜΙΝ14265 | MAP861311,0,0,0.0,27.631021115928547,Στο αγρόκτημα Υφασμάτινο Βιβλίο,"Βρεφικά Παιχνίδια>ΒΡΕΦΙΚΑ ΠΑΙΧΝΙΔΙΑ (6 μηνών+),ΒΙΒΛΙΑ>Παιχνιδοβιβλίο",από 1 έτους,Κονσέρτο στο Δάσος Crayon Activity Kit,Τουβλάκια - Κατασκευές - Playsets>Κατασκευές,από 3 ετών,True,True
56909,KON185582,KON165423,1,8,medium,small,KON185032,KON185032 | KON185216 | KON184264 | 40570 | MAP936010 | MAP834013 | MAP593501 | 176-08166 | DXF82 | 176-07930,26,0,0.0,4.592394682809244,Yu-Gi-Oh! 25th Anniversary Tin: Dueling Heroes,Επιτραπέζια>Trading Card Game>Yu-Gi-Oh! TCG,από 6 ετών,Yu-Gi-Oh! Legacy Of Destruction Tuckbox (27 cards),Επιτραπέζια>Trading Card Game>Yu-Gi-Oh! TCG,από 6 ετών,False,False
57682,FDX75,BIC145,1,1,rare,small,,,0,0,0.0,27.631021115928547,"GEL QUICΚ DRY 0,7mm ΜΠΛΕ BCL ΣΤΥΛΟ BIC",Σχολικά>Γραφική ύλη>Στυλό,από 6 ετών,,,,False,False
56402,733.611 | SW-PT-FGD,SW-PT-FPO,2,1,rare,medium,SW-PT-FV,SW-PT-FV | SW-PT-FLG | SW-PT-FL | SW-PT-FB | SW-PT-FR | SW-PT-MW | SW-PT-FML | SW-PT-FW | SW-PT-FPL | SW-PT-FMV,20,0,0.0,4.546376197658321,Pilot Pintor Fine Μαρκαδόρος Σομόν (Pastel Orange),Σχολικά>Γραφική ύλη>Ειδικοί μαρκαδόροι,από 6 ετών,Pilot Pintor Fine Μαρκαδόρος Μωβ,Σχολικά>Γραφική ύλη>Ειδικοί μαρκαδόροι,από 6 ετών,False,False
57875,0563200 | 930998,23-23138-L,2,2,rare,medium,MAP907057,MAP907057 | MAP845001 | HKR33 | EN101628 | SUS2245 | 0484196 | 0563202 | MAP844612 | 0508045 | HNN03,0,0,0.0,27.631021115928547,Τρεχαλίτσα πασχαλίτσα,Βρεφικά Παιχνίδια>ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ 6-36 μηνών,από 1 έτους,Μυστικό Ημερολόγιο Secret Mosaics,Τουβλάκια - Κατασκευές - Playsets>Κατασκευές,από 5 ετών,True,True
58706,819-88070,IT22653,1,109,popular,small,,,0,0,0.0,27.631021115928547,Σκηνή Σπιτάκι - Ροζ Κάστρο Πριγκίπισσας με φώτα Led,Παιδικό δωμάτιο>Σκηνές παιδικές - σπιτάκια,από 3 ετών,,,,False,False
59733,KON165232 | KON184776,KON947098,2,4,medium,medium,POK852572,POK852572 | UGD011175 | KON180679 | KON949269 | UGD011054 | KON949658 | KON842669 | UGD010250 | KON648087 | KON948040,0,0,0.0,27.631021115928547,Yu-Gi-Oh! Tactical Masters Booster (7 cards),Επιτραπέζια>Trading Card Game>Yu-Gi-Oh! TCG,από 6 ετών,Pokemon Trick or Trade Booster 2023,Επιτραπέζια>Trading Card Game>Pokemon TCG,από 6 ετών,False,True
58035,GWV16 | GWV21,GWV20,2,4,medium,medium,GWV14,GWV14 | GWV00 | GWV19 | HCB47 | GWV20 | HCG95 | HBJ31 | HJW72 | GWV15 | GWV17,5,1,0.2,4.219374087768334,Little People - Φιγούρες 12 Σχέδια - GWV20 Eddie,Δημιουργική απασχόληση>Προσχολικά - εκπαιδευτικά,Unknown,Little People - Φιγούρες 12 Σχέδια - GWV14 Businenessman,Δημιουργική απασχόληση>Προσχολικά - εκπαιδευτικά,Unknown,False,False
58038,GWV18 | GWV19 | GWV20 | HBJ31 | HCG95,GWV16,5,3,medium,large,GWV14,GWV14 | HCB47 | GWV15 | HJW72 | POK857256 | GWV16 | GWV17 | GWV00 | GWV21 | HJW71,6,1,0.16666666666666666,4.171406723729172,Little People - Φιγούρες 12 Σχέδια - GWV16 Woman,Δημιουργική απασχόληση>Προσχολικά - εκπαιδευτικά,Unknown,Little People - Φιγούρες 12 Σχέδια - GWV14 Businenessman,Δημιουργική απασχόληση>Προσχολικά - εκπαιδευτικά,Unknown,False,False
57234,102-03020 | IT24745,820-27255,2,2,rare,medium,HBN02,HBN02 | FPP82 | 176-09807 | WF-0765-NL | SUS1934 | DRH43 | LEG204565 | 183-YW16B100GR | 176-06207 | BW93519,0,0,0.0,27.631021115928547,Παιχνίδι Λογικής - Εκπαιδευτικές Κάρτες,Δημιουργική απασχόληση>Προσχολικά - εκπαιδευτικά,από 1 έτους,Monster Trucks Πίστα Λουπ Glow-In-Dark,"Αυτοκινητάκια - Μοτό - Τρενάκια>HOT WHEELS,Αυτοκινητάκια - Μοτό - Τρενάκια>Πίστες αυτοκινήτων",από 4 ετών,True,True
58206,GWV19 | GWV20 | HCG95,GWV16,3,3,medium,medium,HBJ31,HBJ31 | HCB47 | GWV15 | HJW72 | GWV14 | GWV16 | GWV21 | GWV17 | GWV18 | GWV00,6,1,0.16666666666666666,4.187097581600766,Little People - Φιγούρες 12 Σχέδια - GWV16 Woman,Δημιουργική απασχόληση>Προσχολικά - εκπαιδευτικά,Unknown,Little People - Φιγούρες 12 Σχέδια - HBJ31 Tessa ballerina,Δημιουργική απασχόληση>Προσχολικά - εκπαιδευτικά,Unknown,False,False
58234,HLW98,HLW99,1,1,rare,small,HLW49,HLW49 | HLW48 | HLW99 | PM9463 | 820-92499 | SUS1303 | FWT15 | 9786180131482 | FXL45 | 9786180111873,3,1,0.3333333333333333,4.079719711893214,Frozen Mini Κούκλα - HLW99 Άννα,Κούκλες - Playset - Λούτρινα>DISNEY ΠΡΙΓΚΙΠΙΣΣΕΣ,Unknown,Frozen Βασική Κούκλα - HLW49 Άννα με μπλε,Κούκλες - Playset - Λούτρινα>DISNEY ΠΡΙΓΚΙΠΙΣΣΕΣ,Unknown,False,False
